GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,SATE001,SATE002,SATE003,SATE004,SATE005,SATE006,SATE007,SATE008,SATE009,SATE010,SATE011,SATE012,SATE013,SATE014,SATE015,SATE016,SATE017,SATE018,SATE019,SATE020,SATE021,SATE022,SATE023,SATE024,SATE025,SATE026,SATE027,SATE028,SATE029,SATE030,SATE031,SAVE001,SAVE002,SAVE003,SAVE004,SAVE005,SAVE006,SAVE007,SAVE008,SAVE009,SAVE010,SAVE011,SAVE012,SAVE013,SAVE014,SAVE015,SAVE016,SAVE017,SAVE018,SAVE019,SAVE020,SAVE021,SAVE022,SAVE023,SAVE024,SAVE025,SAVE026,SAVE027,SAVE028,SAVE029,SAVE030,SAVE031,SAZE001,SAZE002,SAZE003,SAZE004,SAZE005,SAZE006,SAZE007,SAZE008,SAZE009,SAZE010,SAZE011,SAZE012,SAZE013,SAZE014,SAZE015,SAZE016,SAZE017,SAZE018,SAZE019,SAZE020,SAZE021,SAZE022,SAZE023,SAZE024,SAZE025,SAZE026,SAZE027,SAZE028,SAZE029,SAZE030,SAZE031,SA1E001,SA1E002,SA1E003,SA1E004,SA1E005,SA1E006,SA1E007,SA1E008,SA1E009,SA1E010,SA1E011,SA1E012,SA1E013,SA1E014,SA1E015,SA1E016,SA1E017,SA1E018,SA1E019,SA1E020,SA1E021,SA1E022,SA1E023,SA1E024,SA1E025,SA1E026,SA1E027,SA1E028,SA1E029,SA1E030,SA1E031,NAME_M,SATM001,SATM002,SATM003,SATM004,SATM005,SATM006,SATM007,SATM008,SATM009,SATM010,SATM011,SATM012,SATM013,SATM014,SATM015,SATM016,SATM017,SATM018,SATM019,SATM020,SATM021,SATM022,SATM023,SATM024,SATM025,SATM026,SATM027,SATM028,SATM029,SATM030,SATM031,SAVM001,SAVM002,SAVM003,SAVM004,SAVM005,SAVM006,SAVM007,SAVM008,SAVM009,SAVM010,SAVM011,SAVM012,SAVM013,SAVM014,SAVM015,SAVM016,SAVM017,SAVM018,SAVM019,SAVM020,SAVM021,SAVM022,SAVM023,SAVM024,SAVM025,SAVM026,SAVM027,SAVM028,SAVM029,SAVM030,SAVM031,SAZM001,SAZM002,SAZM003,SAZM004,SAZM005,SAZM006,SAZM007,SAZM008,SAZM009,SAZM010,SAZM011,SAZM012,SAZM013,SAZM014,SAZM015,SAZM016,SAZM017,SAZM018,SAZM019,SAZM020,SAZM021,SAZM022,SAZM023,SAZM024,SAZM025,SAZM026,SAZM027,SAZM028,SAZM029,SAZM030,SAZM031,SA1M001,SA1M002,SA1M003,SA1M004,SA1M005,SA1M006,SA1M007,SA1M008,SA1M009,SA1M010,SA1M011,SA1M012,SA1M013,SA1M014,SA1M015,SA1M016,SA1M017,SA1M018,SA1M019,SA1M020,SA1M021,SA1M022,SA1M023,SA1M024,SA1M025,SA1M026,SA1M027,SA1M028,SA1M029,SA1M030,SA1M031
"G190","2013",,,"Iowa","19",,,,,,,,,,,,,,,,,,"Iowa",2823908,1392728,85565,91125,88516,55471,39007,100873,85049,90671,165835,194505,191289,115830,63017,25975,1431180,80771,88522,82967,53617,40953,97174,83606,87970,163754,194093,193424,126766,83800,53763,102430,52449,5364,5411,5236,3161,2348,6513,2900,4481,6285,5775,3202,1181,570,22,49981,4174,4741,5458,2848,2422,4703,3563,4274,5983,4887,4381,1008,1190,349,63431,29981,2297,2440,1714,1573,982,2916,4213,2751,5160,3461,1388,640,368,78,33450,2121,2302,1925,1385,821,3453,3320,4348,5280,3733,2923,1082,516,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa",6654,4571,1365,2941,3063,1452,1403,1905,1215,1164,1285,1385,723,619,1732,1704,3934,1020,2707,2467,1925,1733,1807,1110,1100,1612,946,903,588,2476,2521,3161,2192,1184,1111,971,673,533,1137,985,806,1098,842,506,477,331,40,1960,836,1082,1364,733,790,1058,1028,1061,769,706,704,376,496,185,2349,1634,520,653,485,605,386,772,631,531,724,640,450,303,225,57,1776,785,761,578,521,409,681,663,640,969,880,642,395,313,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G200","2013",,,"Kansas","20",,,,,,,,,,,,,,,,,,"Kansas",2476030,1231566,82971,85771,83324,49848,36403,91305,82905,84098,148513,161991,159304,94479,50155,20499,1244464,77807,81328,78159,47211,35442,81669,77984,78743,145849,164534,163954,104492,66914,40378,168246,83839,5984,7394,5965,3957,3761,8440,7114,6495,9756,10857,8762,3123,1772,459,84407,6655,5527,6735,3889,2661,7564,5652,7265,10586,10633,8845,4465,2554,1376,73219,34895,2798,2900,2464,667,1175,4036,3205,3033,6229,3812,2642,1647,207,80,38324,2100,1957,2885,1575,1289,4725,3319,3795,6105,3965,3375,2201,594,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kansas",7298,4903,1559,3000,3004,1099,2074,2544,1574,1078,1727,1033,908,657,1686,1760,4248,1473,3036,3129,1076,2400,2650,1484,996,1479,992,775,677,2114,2033,4206,2928,833,1241,1040,749,1045,1299,1361,888,1124,831,797,394,338,268,2660,1008,1061,944,569,803,978,647,854,1040,818,711,574,533,539,3039,1948,643,773,497,392,498,979,676,509,715,674,303,404,166,137,1849,549,672,922,518,469,907,623,572,705,409,329,663,307,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G210","2013",,,"Kentucky","21",,,,,,,,,,,,,,,,,,"Kentucky",3854574,1896827,116068,117051,127921,75022,52567,132671,118226,123051,249058,272773,252629,162294,72858,24638,1957747,110445,112577,118824,69311,49295,126975,118267,122432,248277,281199,267558,182159,103620,46808,350164,172575,12230,13955,14903,7668,6202,16906,12926,11936,23218,22160,17026,8983,3271,1191,177589,10473,13992,11672,7041,6819,14444,14016,13339,21466,23712,21451,10166,5942,3056,53187,23840,2134,1732,1646,1239,232,2156,2790,1871,4127,3130,1390,1040,353,0,29347,1514,2737,2996,835,616,2277,2496,2224,5355,2939,2359,1448,1262,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kentucky",4722,3794,1507,3945,3929,1594,2106,2124,1475,1243,1419,755,817,398,1730,1715,3853,1833,4023,4209,1568,2484,2389,1347,724,1071,675,549,231,2979,3011,6420,4862,1311,1783,2139,1222,1137,1568,1449,1428,1844,1324,1088,840,626,360,4165,1120,1659,1818,1056,1107,1290,1676,1412,1723,1423,1229,943,845,752,2394,1454,620,630,648,308,205,527,741,261,588,668,356,345,196,189,1928,481,920,780,564,395,526,718,748,1017,714,642,485,539,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G220","2013",,,"Louisiana","22",,,,,,,,,,,,,,,,,,"Louisiana",2907296,1437407,84605,88058,88819,54381,36110,101838,101673,102484,183870,202059,192045,122993,58584,19888,1469889,82640,89136,83036,48134,36380,96337,99886,99142,178253,203969,198936,136797,80967,36276,1492915,704902,56375,61740,57913,33124,23450,66753,51811,50539,81633,88085,78701,36221,15270,3287,788013,57260,60027,60084,33763,23443,68768,58687,55092,94869,100581,92744,46811,26649,9235,74227,35141,2410,2370,1678,1104,681,2773,4197,3072,4572,5048,4364,2070,802,0,39086,3019,3016,1963,864,1105,1962,4414,3249,5838,5683,4891,1629,1240,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Louisiana",7112,4765,1448,3714,3699,1513,2412,2815,2145,2230,2495,1949,1151,857,1749,1764,4675,1598,3843,3956,1220,2558,2550,1523,1666,1781,1933,986,725,2578,2307,6267,3967,1966,3773,3745,1664,1786,2918,1862,2164,2282,1869,1341,1445,1328,650,5543,2623,3566,3580,1763,1802,2641,2150,1854,2398,1955,1251,1327,1598,1227,2619,2219,813,711,892,438,484,830,691,712,883,873,795,607,448,203,1951,885,746,670,384,509,684,728,599,1012,1143,769,450,499,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G230","2013",,,"Maine","23",,,,,,,,,,,,,,,,,,"Maine",1260470,614864,29058,32644,36282,23084,15986,37360,35547,34061,73343,97049,96601,62977,30937,9935,645606,29039,31016,34777,21639,15003,35871,35819,35010,76214,101386,102871,67463,40858,18640,13617,8497,689,678,539,772,552,901,601,647,1334,771,772,111,130,0,5120,544,604,552,96,461,513,396,316,890,372,203,173,0,0,14059,5612,233,491,510,38,178,798,412,798,880,798,121,189,0,166,8447,101,479,956,586,113,747,1002,572,1520,729,703,279,423,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maine",1767,1598,616,2250,2378,415,347,652,307,413,339,581,546,57,1125,1036,1241,610,2341,2296,315,917,939,534,235,373,561,525,174,1484,1443,1258,1101,279,417,326,317,335,523,482,305,508,439,348,120,119,165,781,271,348,358,92,305,314,371,273,307,232,176,191,165,165,1403,897,207,325,445,75,185,450,329,590,445,394,129,244,165,189,1107,176,366,471,358,123,643,562,402,413,348,405,210,345,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G240","2013",,,"Maryland","24",,,,,,,,,,,,,,,,,,"Maryland",3416335,1679452,91386,93536,100833,63530,42636,111785,114881,105404,208867,262306,238437,146529,71130,28192,1736883,84838,93782,93869,59339,41496,103435,113119,106990,206126,271419,246487,164407,94001,57575,1754964,818007,58098,60169,62340,38090,26573,69325,57356,56410,106523,121939,90365,45899,20415,4505,936957,58409,53800,64126,38163,27325,67601,66084,64315,130684,144711,113824,63295,30660,13960,354430,169016,10578,11865,10311,6208,4708,12027,12579,13863,28843,23468,17847,11015,4138,1566,185414,8591,10657,10968,5536,4256,9795,15075,17110,33519,28364,21445,12462,5987,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maryland",14007,7801,2245,3088,3430,1210,1616,2368,2368,2064,2783,1876,1247,1117,1942,1948,7102,1738,3631,3412,1170,1198,1786,1879,1537,2041,1773,1314,775,2419,2483,9739,5942,1935,3301,3384,1280,1535,1925,1661,1639,1846,1596,1262,959,1035,831,5826,1754,3077,3004,1087,1424,1607,1531,1150,1863,1220,1320,1087,1619,1412,4723,2879,1063,1210,1046,546,841,1450,887,851,1182,1032,678,1003,693,452,2929,1015,1317,1156,693,662,960,1321,872,856,995,822,581,938,771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G250","2013",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,"Massachusetts",5330381,2582870,130048,141656,153438,95610,76621,179691,177536,158340,318239,407196,362793,223038,111739,46925,2747511,123886,133588,144194,92681,77086,176924,178369,164416,327838,424633,390314,257180,157105,99297,474427,228556,17581,15430,18599,11296,9690,22589,17969,15074,32069,30458,21725,10130,5145,801,245871,15315,15290,17771,10551,9271,24329,18878,17218,34340,32971,25293,14243,7750,2651,388317,185654,11490,12713,11501,5803,7989,15080,18131,17874,32163,23138,15777,8607,4169,1219,202663,11389,11781,10130,6406,8473,18813,20170,20634,34844,25955,18000,9518,4573,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massachusetts",13584,7119,1727,4460,4331,1257,1168,1970,2349,1667,2516,1871,1482,905,2700,2731,7827,2116,4414,4452,1281,1114,1664,1626,2062,2305,2068,1527,846,3840,3886,8765,5132,1492,1682,1785,1045,1326,1576,1220,1417,1323,1311,1102,1016,877,437,5630,1353,1682,1961,970,1079,1912,1233,1320,1929,1115,967,691,1103,902,4924,2973,1150,1211,1518,543,1008,1397,1053,928,1036,1121,427,534,521,437,2813,903,1242,1167,779,1122,1210,947,1075,1023,865,709,807,920,679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G260","2013",,,"Michigan","26",,,,,,,,,,,,,,,,,,"Michigan",7829056,3864119,208570,236034,241018,156398,105983,273770,231320,229658,468648,581692,556104,343897,168376,62651,3964937,197934,220868,232664,147474,101622,262957,223710,227023,463698,586302,579298,376585,222922,121880,1378237,653727,49619,47345,53519,33802,23713,63302,44064,38694,84680,83830,72170,37637,16441,4911,724510,46379,47832,49616,31987,23916,63807,45928,42593,97194,96913,90556,49690,25814,12285,266406,129937,9336,8543,9904,5274,4670,12064,11731,10233,21775,16650,9944,6358,2570,885,136469,7478,10471,9964,6068,4339,11049,10506,11654,25543,16200,12063,7352,3144,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michigan",7600,5221,1932,5813,5387,1235,1273,1813,1419,1555,2297,1623,1013,818,2801,2666,4855,1632,5557,5424,1426,1720,1948,1216,1852,1792,1513,1130,965,4181,4098,8581,5124,1580,3158,2987,1337,1412,1911,1300,1364,1690,1616,1022,912,1018,857,5269,1607,2960,2571,1273,1410,2216,1178,1074,1519,1541,1066,962,1440,1164,4477,2906,887,1145,1185,760,1018,1188,688,761,1181,909,680,728,584,463,2551,752,1151,1276,874,805,1079,861,678,1215,869,799,684,649,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G270","2013",,,"Minnesota","27",,,,,,,,,,,,,,,,,,"Minnesota",4596087,2278241,133014,139108,143483,86100,59758,143931,148563,158206,281954,344851,319699,186594,97366,35614,2317846,126721,132251,136672,82424,57864,141579,145202,151046,274668,345556,324260,202196,127064,70343,294527,146858,14322,14940,11712,8029,5010,15368,11937,12253,20196,17071,10665,3722,1259,374,147669,14217,14495,15590,7729,4574,12894,12824,12067,20278,15503,10439,4486,2227,346,234013,112906,9384,8863,10788,5561,3441,12262,10752,10864,17166,11955,7070,3300,1228,272,121107,9457,9241,9630,5536,3772,11350,13463,11646,19838,12414,7547,4377,2299,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minnesota",7360,4761,1230,3642,3780,730,1133,1837,1455,1382,1442,1083,790,366,1797,1806,4065,1104,3830,3460,875,1803,1852,965,1140,1495,903,841,520,2717,2792,6033,4084,1453,1686,1516,962,911,1180,1227,1085,1348,892,567,606,383,230,3748,1230,1655,2360,800,946,1689,892,908,1479,1122,672,310,484,292,3604,2488,770,986,916,533,433,777,772,839,1014,979,609,478,285,190,2020,838,1212,919,594,495,870,911,1006,1063,900,531,475,505,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G280","2013",,,"Mississippi","28",,,,,,,,,,,,,,,,,,"Mississippi",1764640,871488,51928,57831,54122,33737,27748,60474,50410,53612,109993,121277,114959,83589,39712,12096,893152,47633,51568,52863,30833,24412,61650,46472,54668,107257,122121,120941,93095,55342,24297,1128280,529358,41270,47851,44300,29348,23563,43893,38081,34617,66570,61456,59851,24750,10950,2858,598922,45400,44762,44047,23969,21718,49706,39900,41632,83925,73999,67892,35591,19376,7005,28159,14226,1070,883,1098,309,394,1682,2266,1707,1527,1440,717,799,250,84,13933,690,958,1231,357,301,1056,509,1479,2772,1280,2219,799,282,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mississippi",4613,4288,1714,2946,3165,1431,2729,3274,1837,2170,2122,1755,638,882,1449,1448,3609,1821,2935,3121,1615,2316,2971,1996,2275,2157,1311,592,760,1963,1896,6928,5077,2220,3360,3287,2260,2429,3075,2665,2338,2580,2433,2213,1406,1250,757,5772,2519,2569,2569,1753,2062,2773,2139,2013,2791,2427,1554,1214,1571,1363,2430,1802,561,464,505,182,284,716,776,771,559,639,358,377,226,82,1423,402,549,494,232,223,511,407,634,861,361,613,398,299,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G290","2013",,,"Missouri","29",,,,,,,,,,,,,,,,,,"Missouri",5003971,2463673,148587,152298,160462,96882,62984,172960,162491,164624,299562,352729,328974,214755,108361,38004,2540298,138570,149517,149420,89137,61767,169321,159050,158490,299095,358226,348645,240804,144676,73580,692288,324769,25656,24182,26664,15598,12798,31097,23728,21606,37514,44666,33958,17024,8333,1945,367519,25107,25128,26836,16536,12960,30199,26625,25550,46344,49137,42184,22765,12539,5609,102626,47590,2966,3890,2623,937,1725,6087,4446,4909,8461,4740,3357,2086,1053,310,55036,2746,3636,3709,1352,1673,4778,5346,5639,9193,7079,4946,2859,1725,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missouri",6656,4340,1674,4666,4932,1501,2495,3003,1708,1874,1608,1459,997,544,2465,2358,4685,1484,4239,4434,1396,2294,2177,1507,1506,1615,1350,1171,719,3598,3556,6755,4115,1501,2834,2501,1179,1413,1767,1429,1574,1337,1776,1219,914,743,486,3980,1534,2058,2249,1202,1079,1185,1472,1435,1177,1643,948,754,974,851,3401,2229,604,792,556,386,551,1184,693,949,1123,709,456,542,376,211,2263,804,934,967,445,525,984,980,929,940,1022,835,685,698,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G300","2013",,,"Montana","30",,,,,,,,,,,,,,,,,,"Montana",904740,453664,24964,26210,26232,16364,13109,31730,27203,29107,52971,61415,69674,45555,22022,7108,451076,24381,27699,22765,16028,12127,29745,26650,26963,50086,62117,69778,44315,24845,13577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6548,2705,226,35,78,0,336,409,200,389,189,149,447,247,0,0,3843,175,91,345,76,111,470,374,353,452,542,491,248,0,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montana",2388,2007,692,1852,1724,760,1129,1130,598,961,691,538,407,222,1175,1147,1901,685,1701,1729,833,1305,1335,698,506,594,538,258,175,1198,1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961,687,223,68,96,165,309,339,205,306,216,177,292,218,165,165,733,175,95,236,97,90,298,320,237,315,298,354,213,165,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G310","2013",,,"Nebraska","31",,,,,,,,,,,,,,,,,,"Nebraska",1650358,816161,54058,56386,54034,32263,23711,57723,54248,56981,100084,110084,105805,62513,35985,12286,834197,53091,54729,52370,30618,23265,57155,51804,53356,97758,110062,108667,68666,45548,27108,86010,44029,3912,4201,3638,1919,1704,3951,4124,3191,5329,5851,3436,1810,913,50,41981,3812,4503,2945,1704,1882,3588,3315,3234,4544,5017,3726,2314,1031,366,37356,17377,716,1097,1123,672,598,1974,1797,1766,2875,2338,1443,720,228,30,19979,1487,1630,1568,1005,1016,1397,1611,1476,3866,1789,1915,739,353,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nebraska",5804,3447,1237,2583,2492,852,1525,1555,1396,1191,1276,918,552,313,1222,1139,3351,1107,2684,2597,912,1449,1546,1196,1102,1341,1044,589,600,1819,1683,3180,1939,798,910,803,301,298,1025,905,715,542,569,450,379,212,84,1961,820,1115,799,345,497,825,644,606,601,433,311,320,290,208,1611,899,337,535,447,314,288,462,481,445,572,576,491,383,262,57,1180,390,478,451,369,444,312,316,484,508,388,430,416,219,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G320","2013",,,"Nevada","32",,,,,,,,,,,,,,,,,,"Nevada",1906864,968857,55570,57992,58978,33672,21625,61159,65607,69068,128247,139892,129513,94313,41227,11994,938007,51778,61135,54434,33367,19181,55271,62477,62757,120743,128367,129264,94653,42818,21762,234179,117365,8232,9283,8596,5459,3298,11023,9642,8861,16106,15802,11148,6258,2917,740,116814,7635,8105,8561,4879,3536,8421,9131,8938,16968,15281,12220,8075,3310,1754,215121,98132,5030,5488,5945,3978,2024,7668,8760,7117,14897,14371,10998,7822,3189,845,116989,3919,5885,4462,4146,2424,6664,8979,8096,18828,18721,17022,11659,4486,1698,18302,8088,311,463,686,248,703,780,672,721,865,1326,802,411,75,25,10214,853,1160,522,370,161,715,1286,650,1606,1447,722,599,123,0,"Nevada",16433,9116,1956,3236,3367,1484,1460,2297,1832,1892,2429,1844,1299,920,1485,1485,8738,2700,3343,2885,1736,1342,2213,1666,1717,2360,1835,1555,934,2032,1686,4884,2838,903,1522,1367,489,496,1131,603,745,1080,835,773,204,429,388,2881,963,1219,1115,474,483,999,810,589,808,556,613,273,507,540,4286,2734,804,1022,1129,500,321,818,1116,550,867,550,625,535,486,456,2633,747,1402,929,445,459,792,464,798,836,737,585,569,586,609,1358,994,210,333,331,355,582,498,392,449,416,535,199,138,98,45,1035,461,405,315,246,160,368,417,463,585,521,108,191,198,206
"G330","2013",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,"New Hampshire",1236757,609409,29094,34131,36511,24290,17989,41350,35924,34231,73406,101193,92086,55204,25527,8473,627348,28923,32877,34741,23106,17947,39631,34439,33487,75500,103646,94399,58828,32986,16838,16100,7493,329,719,455,342,651,611,524,284,1911,605,821,206,35,0,8607,166,1102,1114,368,637,804,604,878,787,1153,109,546,307,32,31156,14553,819,1419,830,513,363,1526,1169,1172,2831,2425,877,204,353,52,16603,1312,1206,757,834,396,1365,1743,1134,3503,1767,1451,891,244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Hampshire",3396,2077,791,2318,2368,463,756,978,397,580,862,637,392,358,1025,1046,1963,620,1865,1808,384,744,811,435,532,673,449,485,422,1368,1370,2462,1557,343,684,349,232,469,509,458,255,987,337,672,195,63,185,1646,185,624,828,343,426,508,382,725,508,577,113,350,473,68,1791,1244,341,555,487,239,230,651,325,516,674,960,476,149,289,96,1242,482,424,379,379,233,492,567,271,527,475,592,582,208,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G340","2013",,,"New Jersey","34",,,,,,,,,,,,,,,,,,"New Jersey",6068475,2965868,165222,177743,187647,118108,77743,180589,179909,177661,369619,471966,414945,255808,132337,56571,3102607,157359,163210,183965,113647,69000,169533,172400,172456,375987,488674,439062,295937,184838,116539,1215836,569827,39225,38029,47481,27611,20325,49588,39369,38640,78469,82937,59107,32189,13638,3219,646009,41616,42276,41105,26621,17808,49522,43375,43422,90282,96649,72405,46416,24451,10061,801879,390740,26091,26784,25936,15041,7599,21983,31359,34735,71771,54526,40019,24535,8673,1688,411139,25787,25278,25862,13821,6554,23645,32597,38193,76024,58115,45355,25549,10260,4099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Jersey",23885,13123,3282,5097,5611,1932,1820,3114,2895,2518,3768,3089,2206,1491,3022,2805,12884,2983,5186,4920,1640,1621,2801,2313,2674,3269,2603,2719,1416,4202,4063,11667,6633,1763,2896,3224,1264,1397,2057,1884,1515,1901,1700,1182,1201,1207,978,6775,1794,2722,2645,1197,1464,1977,1594,1417,2158,1580,1138,1102,1501,1618,6084,3682,1259,1963,1924,1030,780,1057,1168,1015,1210,891,796,828,873,644,3468,1311,2088,2140,768,728,1217,1231,829,1326,904,935,973,837,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G350","2013",,,"New Mexico","35",,,,,,,,,,,,,,,,,,"New Mexico",1569585,774178,47024,50572,51728,31031,23660,54604,50511,49844,90699,100689,103115,72690,37718,10293,795407,47820,49331,49677,29209,21025,50525,46696,48255,93319,105172,112723,79751,42145,19759,41733,23157,1670,928,1589,696,1543,2888,675,1410,3162,3567,2946,1473,522,88,18576,1014,1569,1564,1151,493,2804,679,1493,2025,2779,1608,667,636,94,28274,12510,423,876,1090,326,553,1381,957,993,2143,1041,1478,1009,74,166,15764,491,1044,1019,501,189,1026,1209,1493,2921,1976,2034,1077,410,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Mexico",12950,6591,2006,2920,3013,1480,1841,2609,1901,2370,2499,2099,1582,1171,1571,1339,8336,2182,3075,3061,1434,1978,2317,1706,1725,2250,1936,1676,1445,1873,1510,2692,1827,637,375,403,290,644,817,392,717,1054,928,637,516,286,103,1932,573,648,757,525,309,1162,482,567,557,873,397,249,305,114,2559,1706,351,449,660,254,446,593,514,382,518,458,558,165,103,189,1735,281,939,461,374,131,182,474,495,576,544,361,312,259,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G360","2013",,,"New York","36",,,,,,,,,,,,,,,,,,"New York",12695280,6218601,338045,346991,358674,226326,168157,426086,440734,407575,785836,933367,854292,533825,282800,115893,6476679,318282,327913,340869,215585,164958,410631,433148,406422,769382,944681,900875,616074,390201,237658,3079582,1422618,98998,96876,106027,67976,47685,130928,111823,97341,181364,203995,150444,80369,36015,12777,1656964,99489,99016,103732,63047,49399,133673,118607,114547,215368,244333,197469,123118,66981,28185,1554980,744991,45684,41914,42839,25607,20391,61322,65597,63846,113782,104596,86809,44553,22559,5492,809989,41726,40581,43076,25671,20297,62222,74195,72557,132861,116674,94545,49385,25995,10204,9962,5284,275,532,143,210,254,674,710,452,668,839,350,34,143,0,4678,237,336,118,50,44,394,434,231,472,1189,552,197,424,0,"New York",28799,16177,4297,7318,7731,2847,2399,3946,4422,4097,4850,4472,3808,2185,4612,4088,16627,3754,7151,6005,2782,2803,4026,3636,3456,4937,4269,3632,2764,6055,5877,16847,8945,2884,4751,4373,1746,1687,2976,3088,2259,3318,3186,2663,2105,1783,1490,12148,2681,4352,4642,1644,1824,3034,2854,2742,3017,2611,2819,2038,2389,2344,9200,5412,1847,2404,2388,1169,1259,2057,1416,1604,1781,1580,1205,991,1433,1279,5733,1924,2191,2399,1026,1251,2115,1619,1859,1928,1884,1202,1227,1572,1449,3006,1479,256,401,136,204,289,483,471,414,336,554,398,32,163,193,1883,335,315,148,85,74,330,477,183,363,540,453,275,608,193
